,Consumed energy [Wh]
0,14.127681
1,4.961367
2,43.413704
3,0.937126
4,1.1665391
5,3.3047793
6,11.723508
7,0.6944109
8,69.00826
9,8.868248
10,47.659996
11,7.9858975
12,4.452441e-06
13,2.1664135e-07
14,8.5807704e-05
15,1.4374134e-09
16,2.7856297e-09
17,4.789292e-08
18,1.7260834e-06
19,7.0334816e-10
20,0.00015279964
21,1.0599161e-06
22,0.00022171024
23,3.970374e-07
24,1.7346526
25,1.69791
26,9.962507
27,0.25120357
28,0.31335273
29,1.0640416
30,3.418296
31,0.21142529
32,16.742346
33,3.563675
34,14.344904
35,1.8933895
36,2.8449674e-06
37,1.7881207e-07
38,6.13371e-05
39,1.0956684e-09
40,1.9766073e-09
41,3.9834415e-08
42,1.3607438e-06
43,5.4193094e-10
44,0.000110224246
45,7.730057e-07
46,0.00016438597
47,2.867356e-07
48,93.44089
49,8.461074
50,115.22162
51,1.8461847
52,2.192288
53,8.042443
54,32.31098
55,1.5211878
56,143.48328
57,24.386414
58,636.7687
59,24.044813
60,3.2124106e-05
61,9.565304e-07
62,0.00035781998
63,8.679515e-09
64,1.4226444e-08
65,2.3652811e-07
66,8.240246e-06
67,4.121569e-09
68,0.00047808417
69,4.043923e-06
70,0.0014576329
71,1.9393522e-06
72,5.8495035
73,3.0225258
74,12.456455
75,0.42116714
76,0.48790228
77,2.1564105
78,6.3646812
79,0.33854777
80,20.090052
81,4.2867527
82,50.37173
83,5.5386486
84,6.899693e-06
85,3.4903957e-07
86,9.875389e-05
87,2.1827906e-09
88,3.7611003e-09
89,8.085081e-08
90,2.6385978e-06
91,1.1101772e-09
92,0.0001591449
93,1.0822465e-06
94,0.0003768693
95,6.1683835e-07
96,14.538266
97,2.7938497
98,22.863787
99,0.40250129
100,0.40925005
101,1.6387961
102,6.3868833
103,0.25708023
104,18.82169
105,2.456703
106,49.7475
107,2.7228334
108,7.578423e-06
109,3.0860085e-07
110,0.00012032332
111,2.1145843e-09
112,3.3705028e-09
113,6.996106e-08
114,2.390668e-06
115,8.8863905e-10
116,0.00016174358
117,1.141973e-06
118,0.0003783667
119,4.9245006e-07
120,62.977062
121,17.533463
122,149.89363
123,5.4457865
124,11.55343
125,18.51174
126,47.93177
127,4.8877425
128,306.17505
129,188.71468
130,634.8079
131,85.97073
132,0.0001423907
133,5.052383e-06
134,0.0015906817
135,7.475866e-08
136,1.4677377e-07
137,1.6425041e-06
138,4.2325766e-05
139,3.9521556e-08
140,0.002590238
141,4.2397674e-05
142,0.0059229922
143,1.2984959e-05
144,6.7940464
145,2.4499042
146,13.517514
147,0.49321583
148,0.50081843
149,2.3346694
150,7.337768
151,0.3682803
152,19.234495
153,7.3680906
154,68.28476
155,4.6938267
156,5.4031366e-06
157,3.0859027e-07
158,7.9269295e-05
159,2.3776272e-09
160,3.77405e-09
161,8.1012274e-08
162,2.5136317e-06
163,1.131659e-09
164,0.00013401292
165,1.3395478e-06
