,Consumed energy [Wh]
0,1008.0136
1,517.3831
2,525.86163
3,696.6251
4,723.759
5,536.66016
6,757.4735
7,549.4598
8,582.0563
9,627.6753
10,739.4324
11,773.40533
12,0.08106074
13,0.020978168
14,0.01904985
15,0.024398072
16,0.026679177
17,0.032857154
18,0.029606218
19,0.019013077
20,0.020508375
21,0.022970548
22,0.062433153
23,0.113909245
24,1310.8906
25,1121.1019
26,968.70435
27,1054.4092
28,1007.5232
29,1128.6486
30,1065.2472
31,996.01514
32,1078.1404
33,1386.0775
34,1236.9999
35,1637.8668
36,0.14984974
37,0.045640383
38,0.03716842
39,0.0435519
40,0.058202542
41,0.05896628
42,0.04452487
43,0.04085003
44,0.053222854
45,0.054735348
46,0.13031837
47,0.24900708
48,922.3529
49,1030.4584
50,731.79675
51,934.91547
52,714.3913
53,820.34357
54,705.46234
55,766.5498
56,815.11365
57,827.8953
58,1068.3491
59,1093.8768
60,0.06461723
61,0.023620805
62,0.01837707
63,0.020628462
64,0.024590718
65,0.03417229
66,0.023065267
67,0.019437877
68,0.02120803
69,0.02406028
70,0.061221853
71,0.10952929
72,1031.003
73,660.9617
74,782.56494
75,777.8442
76,693.4599
77,966.4064
78,840.1021
79,755.1134
80,785.2448
81,712.9831
82,1120.4412
83,1048.8455
84,0.13786548
85,0.05823569
86,0.054100804
87,0.058139462
88,0.04754216
89,0.09800744
90,0.061666023
91,0.054557785
92,0.06111324
93,0.056307677
94,0.15897188
95,0.28467432
96,703.6738
97,542.93665
98,516.9586
99,537.7658
100,618.29724
101,566.4706
102,607.84796
103,562.4983
104,661.3173
105,755.65356
106,674.3082
107,1030.7728
108,0.06118351
109,0.018690178
110,0.015768139
111,0.01734942
112,0.025463957
113,0.02746227
114,0.023087123
115,0.017272487
116,0.018775357
117,0.023079703
118,0.054275785
119,0.11089321
120,843.0802
121,735.6365
122,528.68884
123,594.92017
124,757.5348
125,708.96625
126,760.43774
127,615.4257
128,642.3579
129,770.5627
130,735.92633
131,966.3619
132,0.061375014
